Ensembl Gene ID	Yeast Ensembl Gene ID	% Identity with respect to Yeast gene	Associated Gene Name	Description	Disease
ENSMUSG00000046934	YCR005C	56	Csl	"citrate synthase like [Source:MGI Symbol;Acc:MGI:1919082]"	
ENSMUSG00000027498	YPR178W	15	Cstf1	"cleavage stimulation factor, 3' pre-RNA, subunit 1 [Source:MGI Symbol;Acc:MGI:1914587]"	
ENSMUSG00000031256	YIR005W	22	Cstf2	"cleavage stimulation factor, 3' pre-RNA subunit 2 [Source:MGI Symbol;Acc:MGI:1343054]"	
ENSMUSG00000053536	YIR005W	22	Cstf2t	"cleavage stimulation factor, 3' pre-RNA subunit 2, tau [Source:MGI Symbol;Acc:MGI:1932622]"	
ENSMUSG00000027176	YMR061W	24	Cstf3	"cleavage stimulation factor, 3' pre-RNA, subunit 3 [Source:MGI Symbol;Acc:MGI:1351825]"	
ENSMUSG00000041360	YDR496C	21	D19Bwg1357e	"DNA segment, Chr 19, Brigham & Women's Genetics 1357 expressed [Source:MGI Symbol;Acc:MGI:106253]"	
ENSMUSG00000039224	YOR204W	53	D1Pas1	"DNA segment, Chr 1, Pasteur Institute 1 [Source:MGI Symbol;Acc:MGI:91842]"	
ENSMUSG00000039660	YGR283C	22	D2Wsu81e	"DNA segment, Chr 2, Wayne State University 81, expressed [Source:MGI Symbol;Acc:MGI:106544]"	
ENSMUSG00000039660	YMR310C	22	D2Wsu81e	"DNA segment, Chr 2, Wayne State University 81, expressed [Source:MGI Symbol;Acc:MGI:106544]"	
ENSMUSG00000026356	YLL018C	52	Dars	"aspartyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2442544]"	
ENSMUSG00000032469	YKL149C	34	Dbr1	"debranching enzyme homolog 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1931520]"	
ENSMUSG00000022300	YLL011W	44	Dcaf13	"DDB1 and CUL4 associated factor 13 [Source:MGI Symbol;Acc:MGI:2684929]"	
ENSMUSG00000037149	YOR204W	22	Ddx1	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 1 [Source:MGI Symbol;Acc:MGI:2144727]"	
ENSMUSG00000053289	YJL033W	40	Ddx10	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 [Source:MGI Symbol;Acc:MGI:1924841]"	
ENSMUSG00000055065	YNL112W	54	Ddx17	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 [Source:MGI Symbol;Acc:MGI:1914290]"	
ENSMUSG00000001674	YMR290C	59	Ddx18	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192]"	
ENSMUSG00000020075	YJL138C	32	Ddx21	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494]"	
ENSMUSG00000020075	YKR059W	32	Ddx21	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494]"	
ENSMUSG00000020075	YGL078C	29	Ddx21	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494]"	
ENSMUSG00000003360	YDR243C	38	Ddx23	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 [Source:MGI Symbol;Acc:MGI:1921601]"	
ENSMUSG00000041645	YBR142W	27	Ddx24	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 [Source:MGI Symbol;Acc:MGI:1351337]"	
ENSMUSG00000017999	YLL008W	33	Ddx27	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 [Source:MGI Symbol;Acc:MGI:2385884]"	
ENSMUSG00000045538	YHR065C	25	Ddx28	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 28 [Source:MGI Symbol;Acc:MGI:1919236]"	
ENSMUSG00000026806	YKR024C	29	Ddx31	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 31 [Source:MGI Symbol;Acc:MGI:2682639]"	
ENSMUSG00000005481	YDL084W	59	Ddx39	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 [Source:MGI Symbol;Acc:MGI:1915528]"	
ENSMUSG00000019432	YDL084W	61	Ddx39b	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:MGI Symbol;Acc:MGI:99240]"	
ENSMUSG00000000787	YOR204W	54	Ddx3x	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"	
ENSMUSG00000021494	YPL119C	30	Ddx41	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 [Source:MGI Symbol;Acc:MGI:1920185]"	
ENSMUSG00000020705	YNL112W	37	Ddx42	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 42 [Source:MGI Symbol;Acc:MGI:1919297]"	
ENSMUSG00000021500	YNL112W	38	Ddx46	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 46 [Source:MGI Symbol;Acc:MGI:1920895]"	
ENSMUSG00000030204	YHR065C	46	Ddx47	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 [Source:MGI Symbol;Acc:MGI:1915005]"	
ENSMUSG00000057788	YHR169W	47	Ddx49	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:MGI Symbol;Acc:MGI:2136689]"	
ENSMUSG00000020719	YNL112W	54	Ddx5	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 [Source:MGI Symbol;Acc:MGI:105037]"	
ENSMUSG00000020076	YGL078C	31	Ddx50	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 [Source:MGI Symbol;Acc:MGI:2182303]"	
ENSMUSG00000020076	YJL138C	31	Ddx50	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 [Source:MGI Symbol;Acc:MGI:2182303]"	
ENSMUSG00000020076	YKR059W	31	Ddx50	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 [Source:MGI Symbol;Acc:MGI:2182303]"	
ENSMUSG00000029504	YNR038W	26	Ddx51	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 [Source:MGI Symbol;Acc:MGI:1916913]"	
ENSMUSG00000020677	YGL171W	41	Ddx52	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52 [Source:MGI Symbol;Acc:MGI:1925644]"	
ENSMUSG00000029599	YDL031W	31	Ddx54	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 [Source:MGI Symbol;Acc:MGI:1919240]"	
ENSMUSG00000029389	YFL002C	37	Ddx55	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 [Source:MGI Symbol;Acc:MGI:1915098]"	
ENSMUSG00000004393	YLR276C	41	Ddx56	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 [Source:MGI Symbol;Acc:MGI:1277172]"	
ENSMUSG00000032097	YDL160C	56	Ddx6	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 [Source:MGI Symbol;Acc:MGI:104976]"	
ENSMUSG00000029169	YGL120C	59	Dhx15	"DEAH (Asp-Glu-Ala-His) box polypeptide 15 [Source:MGI Symbol;Acc:MGI:1099786]"	
ENSMUSG00000024422	YGL120C	44	Dhx16	"DEAH (Asp-Glu-Ala-His) box polypeptide 16 [Source:MGI Symbol;Acc:MGI:1916442]"	
ENSMUSG00000006019	YNR011C	28	Dhx34	"DEAH (Asp-Glu-Ala-His) box polypeptide 34 [Source:MGI Symbol;Acc:MGI:1918973]"	
ENSMUSG00000027770	YLR419W	19	Dhx36	"DEAH (Asp-Glu-Ala-His) box polypeptide 36 [Source:MGI Symbol;Acc:MGI:1919412]"	
ENSMUSG00000037993	YKR086W	39	Dhx38	"DEAH (Asp-Glu-Ala-His) box polypeptide 38 [Source:MGI Symbol;Acc:MGI:1927617]"	
ENSMUSG00000035051	YLR419W	22	Dhx57	"DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:MGI Symbol;Acc:MGI:2147067]"	
ENSMUSG00000016181	YIL091C	30	Diexf	"digestive organ expansion factor homolog (zebrafish) [Source:MGI Symbol;Acc:MGI:2138080]"	
ENSMUSG00000021692	YPL266W	55	Dimt1	"DIM1 dimethyladenosine transferase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913504]"	
ENSMUSG00000033166	YOL021C	42	Dis3	"DIS3 mitotic control homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919912]"	
ENSMUSG00000031403	YLR175W	62	Dkc1	"dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]"	"Dyskeratosis Congenita, X-Linked; DKCX"
ENSMUSG00000029014	YGR285C	33	Dnajc2	"DnaJ (Hsp40) homolog, subfamily C, member 2 [Source:MGI Symbol;Acc:MGI:99470]"	
ENSMUSG00000044224	YNL227C	28	Dnajc21	"DnaJ (Hsp40) homolog, subfamily C, member 21 [Source:MGI Symbol;Acc:MGI:1925371]"	
ENSMUSG00000039756	YLR051C	30	Dnttip2	"deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:MGI Symbol;Acc:MGI:1923173]"	
ENSMUSG00000007603	YLR401C	34	Dus3l	"dihydrouridine synthase 3-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2147092]"	
ENSMUSG00000027203	YBR252W	52	Dut	"deoxyuridine triphosphatase [Source:MGI Symbol;Acc:MGI:1346051]"	
ENSMUSG00000018707	YKR054C	30	Dync1h1	"dynein cytoplasmic 1 heavy chain 1 [Source:MGI Symbol;Acc:MGI:103147]"	
ENSMUSG00000028729	YKL172W	22	Ebna1bp2	"EBNA1 binding protein 2 [Source:MGI Symbol;Acc:MGI:1916322]"	
ENSMUSG00000015092	YOR298C-A	40	Edf1	"endothelial differentiation-related factor 1 [Source:MGI Symbol;Acc:MGI:1891227]"	
ENSMUSG00000037742	YBR118W	81	Eef1a1	"eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881]"	Breast Cancer
ENSMUSG00000071644	YKL081W	34	Eef1g	"eukaryotic translation elongation factor 1 gamma [Source:MGI Symbol;Acc:MGI:1914410]"	
ENSMUSG00000071644	YPL048W	34	Eef1g	"eukaryotic translation elongation factor 1 gamma [Source:MGI Symbol;Acc:MGI:1914410]"	
ENSMUSG00000034994	YDR385W	67	Eef2	"eukaryotic translation elongation factor 2 [Source:MGI Symbol;Acc:MGI:95288]"	
ENSMUSG00000020929	YDR385W	37	Eftud2	"elongation factor Tu GTP binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1336880]"	
ENSMUSG00000057561	YMR260C	59	Eif1a	"eukaryotic translation initiation factor 1A [Source:MGI Symbol;Acc:MGI:95298]"	
ENSMUSG00000067194	YMR260C	61	Eif1ax	"eukaryotic translation initiation factor 1A, X-linked [Source:MGI Symbol;Acc:MGI:1913485]"	
ENSMUSG00000006941	YNL244C	59	Eif1b	"eukaryotic translation initiation factor 1B [Source:MGI Symbol;Acc:MGI:1916219]"	
ENSMUSG00000024079	YDR283C	7	Eif2ak2	"eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]"	
ENSMUSG00000026427	YDR117C	25	Eif2d	"eukaryotic translation initiation factor 2D [Source:MGI Symbol;Acc:MGI:109342]"	
ENSMUSG00000021116	YJR007W	54	Eif2s1	"eukaryotic translation initiation factor 2, subunit 1 alpha [Source:MGI Symbol;Acc:MGI:95299]"	
ENSMUSG00000074656	YPL237W	46	Eif2s2	"eukaryotic translation initiation factor 2, subunit 2 (beta) [Source:MGI Symbol;Acc:MGI:1914454]"	
ENSMUSG00000024991	YBR079C	28	Eif3a	"eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]"	
ENSMUSG00000030738	YMR309C	25	Eif3c	"eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]"	
ENSMUSG00000070319	YDR429C	34	Eif3g	"eukaryotic translation initiation factor 3, subunit G [Source:MGI Symbol;Acc:MGI:1858258]"	
ENSMUSG00000059796	YDR021W	57	Eif4a1	"eukaryotic translation initiation factor 4A1 [Source:MGI Symbol;Acc:MGI:95303]"	
ENSMUSG00000022884	YDR021W	57	Eif4a2	"eukaryotic translation initiation factor 4A2 [Source:MGI Symbol;Acc:MGI:106906]"	
ENSMUSG00000025580	YDR021W	61	Eif4a3	"eukaryotic translation initiation factor 4A3 [Source:MGI Symbol;Acc:MGI:1923731]"	
ENSMUSG00000028156	YOL139C	32	Eif4e	"eukaryotic translation initiation factor 4E [Source:MGI Symbol;Acc:MGI:95305]"	
ENSMUSG00000026254	YOL139C	25	Eif4e2	"eukaryotic translation initiation factor 4E member 2 [Source:MGI Symbol;Acc:MGI:1914440]"	
ENSMUSG00000045983	YGL049C	21	Eif4g1	"eukaryotic translation initiation factor 4, gamma 1 [Source:MGI Symbol;Acc:MGI:2384784]"	
ENSMUSG00000045983	YGR162W	21	Eif4g1	"eukaryotic translation initiation factor 4, gamma 1 [Source:MGI Symbol;Acc:MGI:2384784]"	
ENSMUSG00000005610	YGR162W	12	Eif4g2	"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]"	
ENSMUSG00000005610	YGL049C	11	Eif4g2	"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]"	
ENSMUSG00000028760	YGL049C	20	Eif4g3	"eukaryotic translation initiation factor 4 gamma, 3 [Source:MGI Symbol;Acc:MGI:1923935]"	
ENSMUSG00000028760	YGR162W	20	Eif4g3	"eukaryotic translation initiation factor 4 gamma, 3 [Source:MGI Symbol;Acc:MGI:1923935]"	
ENSMUSG00000021282	YPR041W	38	Eif5	"eukaryotic translation initiation factor 5 [Source:MGI Symbol;Acc:MGI:95309]"	
ENSMUSG00000078812	YEL034W	62	Eif5a	"eukaryotic translation initiation factor 5A [Source:MGI Symbol;Acc:MGI:106248]"	
ENSMUSG00000078812	YJR047C	61	Eif5a	"eukaryotic translation initiation factor 5A [Source:MGI Symbol;Acc:MGI:106248]"	
ENSMUSG00000050192	YEL034W	62	Eif5a2	"eukaryotic translation initiation factor 5A2 [Source:MGI Symbol;Acc:MGI:1933735]"	
ENSMUSG00000050192	YJR047C	62	Eif5a2	"eukaryotic translation initiation factor 5A2 [Source:MGI Symbol;Acc:MGI:1933735]"	
ENSMUSG00000026083	YAL035W	43	Eif5b	"eukaryotic translation initiation factor 5B [Source:MGI Symbol;Acc:MGI:2441772]"	
ENSMUSG00000020549	YKR079C	24	Elac2	"elaC homolog 2 (E. coli) [Source:MGI Symbol;Acc:MGI:1890496]"	
ENSMUSG00000004268	YLR186W	46	Emg1	"EMG1 nucleolar protein homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1315195]"	
ENSMUSG00000063524	YGR254W	62	Eno1	"enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"	
ENSMUSG00000063524	YHR174W	61	Eno1	"enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"	
ENSMUSG00000063524	YMR323W	58	Eno1	"enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"	
ENSMUSG00000063524	YOR393W	58	Eno1	"enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"	
ENSMUSG00000063524	YPL281C	58	Eno1	"enolase 1, alpha non-neuron [Source:MGI Symbol;Acc:MGI:95393]"	
ENSMUSG00000045624	YDR365C	33	Esf1	"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913830]"	
ENSMUSG00000024360	YBR143C	67	Etf1	"eukaryotic translation termination factor 1 [Source:MGI Symbol;Acc:MGI:2385071]"	
ENSMUSG00000034321	YNL232W	25	Exosc1	"exosome component 1 [Source:MGI Symbol;Acc:MGI:1913833]"	
ENSMUSG00000017264	YOR001W	29	Exosc10	"exosome component 10 [Source:MGI Symbol;Acc:MGI:1355322]"	
ENSMUSG00000039356	YHR069C	34	Exosc2	"exosome component 2 [Source:MGI Symbol;Acc:MGI:2385133]"	
ENSMUSG00000034259	YGR195W	33	Exosc4	"exosome component 4 [Source:MGI Symbol;Acc:MGI:1923576]"	
ENSMUSG00000027714	YDR280W	34	Exosc9	"exosome component 9 [Source:MGI Symbol;Acc:MGI:1355319]"	
ENSMUSG00000003808	YFL022C	48	Farsa	"phenylalanyl-tRNA synthetase, alpha subunit [Source:MGI Symbol;Acc:MGI:1913840]"	
ENSMUSG00000026245	YLR060W	46	Farsb	"phenylalanyl-tRNA synthetase, beta subunit [Source:MGI Symbol;Acc:MGI:1346035]"	
ENSMUSG00000025153	YER061C	20	Fasn	"fatty acid synthase [Source:MGI Symbol;Acc:MGI:95485]"	
ENSMUSG00000046865	YDL014W	64	Fbl	"fibrillarin [Source:MGI Symbol;Acc:MGI:95486]"	
ENSMUSG00000021243	YDR339C	61	Fcf1	"FCF1 small subunit (SSU) processome component homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920986]"	
ENSMUSG00000059743	YJL167W	44	Fdps	"farnesyl diphosphate synthetase [Source:MGI Symbol;Acc:MGI:104888]"	
ENSMUSG00000029227	YJR093C	26	Fip1l1	"FIP1 like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914149]"	
ENSMUSG00000030357	YNL135C	46	Fkbp4	"FK506 binding protein 4 [Source:MGI Symbol;Acc:MGI:95543]"	"Androgen Insensitivity Syndrome; AIS"
ENSMUSG00000020706	YCL054W	36	Ftsj3	"FtsJ homolog 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1860295]"	
ENSMUSG00000071650	YBR229C	35	Ganab	"alpha glucosidase 2 alpha neutral subunit [Source:MGI Symbol;Acc:MGI:1097667]"	
ENSMUSG00000028010	YHR089C	55	Gar1	"GAR1 ribonucleoprotein homolog (yeast) [Source:MGI Symbol;Acc:MGI:1930948]"	"Retinitis Pigmentosa; RP"
ENSMUSG00000041638	YGL195W	28	Gcn1l1	"GCN1 general control of amino-acid synthesis 1-like 1 (yeast) [Source:MGI Symbol;Acc:MGI:2444248]"	
ENSMUSG00000021218	YER136W	53	Gdi2	"guanosine diphosphate (GDP) dissociation inhibitor 2 [Source:MGI Symbol;Acc:MGI:99845]"	
ENSMUSG00000027774	YLR069C	53	Gfm1	"G elongation factor, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:107339]"	
ENSMUSG00000031068	YER174C	40	Glrx3	"glutaredoxin 3 [Source:MGI Symbol;Acc:MGI:1353653]"	
ENSMUSG00000031068	YDR098C	33	Glrx3	"glutaredoxin 3 [Source:MGI Symbol;Acc:MGI:1353653]"	
ENSMUSG00000058064	YGR085C	68	Gm10036	"predicted gene 10036 [Source:MGI Symbol;Acc:MGI:3642334]"	
ENSMUSG00000058064	YPR102C	68	Gm10036	"predicted gene 10036 [Source:MGI Symbol;Acc:MGI:3642334]"	
ENSMUSG00000071532	YOL127W	64	Gm10335	"predicted gene 10335 [Source:MGI Symbol;Acc:MGI:3641693]"	
ENSMUSG00000092232	YIR001C	21	Gm20521	"predicted gene 20521 [Source:MGI Symbol;Acc:MGI:5141986]"	
ENSMUSG00000090538	YOL040C	45	Gm4775	"predicted gene 4775 [Source:MGI Symbol;Acc:MGI:3647362]"	
ENSMUSG00000092012	YLR117C	37	Gm4782	"predicted gene 4782 [Source:MGI Symbol;Acc:MGI:3646036]"	
ENSMUSG00000071273	YIR009W	25	Gm5145	"predicted pseudogene 5145 [Source:MGI Symbol;Acc:MGI:3645482]"	
ENSMUSG00000059040	YGR254W	62	Gm5506	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"	
ENSMUSG00000059040	YHR174W	61	Gm5506	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"	
ENSMUSG00000059040	YMR323W	58	Gm5506	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"	
ENSMUSG00000059040	YOR393W	58	Gm5506	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"	
ENSMUSG00000059040	YPL281C	58	Gm5506	"predicted gene 5506 [Source:MGI Symbol;Acc:MGI:3648653]"	
ENSMUSG00000064081	YPL249C-A	43	Gm8973	"predicted gene 8973 [Source:MGI Symbol;Acc:MGI:3648534]"	
